algorithm,threads,n,alphabet,time,cache-misses
prs,9,10000,1048576,0.004160,21413
prs,10,10000,1048576,0.002941,25447
prs,11,10000,1048576,0.005046,23389
prs,12,10000,1048576,0.004650,30228
prs,1,10000,1048576,0.008887,2914
prs,2,10000,1048576,0.004807,7684
prs,3,10000,1048576,0.003559,13038
prs,4,10000,1048576,0.003158,11983
prs,5,10000,1048576,0.003254,23918
prs,6,10000,1048576,0.003195,19261
prs,7,10000,1048576,0.003711,19608
prs,8,10000,1048576,0.002956,32764
prs,9,10000,1048576,0.002578,22299
prs,10,10000,1048576,0.003535,29037
prs,11,10000,1048576,0.003888,30655
prs,12,10000,1048576,0.004507,25587
pqs,1,100000,256,0.022455,10540
pqs,2,100000,256,0.012045,10190
pqs,3,100000,256,0.008692,13518
pqs,4,100000,256,0.007087,19121
pqs,5,100000,256,0.006566,19023
pqs,6,100000,256,0.006610,24836
pqs,7,100000,256,0.005990,21785
pqs,8,100000,256,0.005937,33683
pqs,9,100000,256,0.002869,34093
pqs,10,100000,256,0.005260,29082
pqs,11,100000,256,0.005263,37686
pqs,12,100000,256,0.005437,37865
pqs,1,100000,256,0.022522,11110
pqs,2,100000,256,0.011996,17718
pqs,3,100000,256,0.008696,14188
pqs,4,100000,256,0.007137,18516
pqs,5,100000,256,0.006360,16726
pqs,6,100000,256,0.006314,24717
pqs,7,100000,256,0.006313,26954
pqs,8,100000,256,0.005103,31713
pqs,9,100000,256,0.005577,31568
pqs,10,100000,256,0.005495,37468
pqs,11,100000,256,0.006005,28948
pqs,12,100000,256,0.004636,33806
pqs,1,100000,256,0.022456,9961
pqs,2,100000,256,0.011996,13158
pqs,3,100000,256,0.008721,14177
pqs,4,100000,256,0.007129,14573
pqs,5,100000,256,0.006495,21737
pqs,6,100000,256,0.006493,25972
pqs,7,100000,256,0.006468,25522
pqs,8,100000,256,0.006177,30800
pqs,9,100000,256,0.005822,32505
pqs,10,100000,256,0.005631,32427
pqs,11,100000,256,0.010309,51279
pqs,12,100000,256,0.005442,36393
pms,1,100000,256,0.026509,7297
pms,2,100000,256,0.013439,21883
pms,3,100000,256,0.009847,11446
pms,4,100000,256,0.007790,26876
pms,5,100000,256,0.006284,24840
pms,6,100000,256,0.005610,28326
pms,7,100000,256,0.005464,34383
pms,8,100000,256,0.004738,37069
pms,9,100000,256,0.004385,38733
pms,10,100000,256,0.006884,45552
pms,11,100000,256,0.006639,54374
pms,12,100000,256,0.005277,51782
pms,1,100000,256,0.026570,14317
pms,2,100000,256,0.013458,9410
pms,3,100000,256,0.009652,20495
pms,4,100000,256,0.007682,30800
pms,5,100000,256,0.006682,29110
pms,6,100000,256,0.005954,30103
pms,7,100000,256,0.006536,30898
pms,8,100000,256,0.004941,34853
pms,9,100000,256,0.006437,31902
pms,10,100000,256,0.006151,34466
pms,11,100000,256,0.005565,40046
pms,12,100000,256,0.005593,49099
pms,1,100000,256,0.026658,19838
pms,2,100000,256,0.013519,13718
pms,3,100000,256,0.009827,17589
pms,4,100000,256,0.007666,28285
pms,5,100000,256,0.006816,28143
pms,6,100000,256,0.006128,26884
pms,7,100000,256,0.005621,28547
pms,8,100000,256,0.005955,29846
pms,9,100000,256,0.004873,34992
pms,10,100000,256,0.005723,41742
pms,11,100000,256,0.005247,39292
pms,12,100000,256,0.004685,47063
pcs,1,100000,256,0.002579,14345
pcs,2,100000,256,0.005626,156081
pcs,3,100000,256,0.003985,80621
pcs,4,100000,256,0.004339,116179
pcs,5,100000,256,0.004334,106821
pcs,6,100000,256,0.004830,109693
pcs,7,100000,256,0.005354,132981
pcs,8,100000,256,0.005768,144519
pcs,9,100000,256,0.006254,166475
pcs,10,100000,256,0.007545,196142
pcs,11,100000,256,0.006958,157815
pcs,12,100000,256,0.007985,185564
pcs,1,100000,256,0.002539,12420
pcs,2,100000,256,0.005521,152149
pcs,3,100000,256,0.003837,73749
pcs,4,100000,256,0.004588,120115
pcs,5,100000,256,0.004451,99448
pcs,6,100000,256,0.005572,130220
